Date,TSLA,BTC-USD,AGG,BIL
2021-01-01,264.5100,33114.3600,104.1500,80.9200
2021-02-01,225.1700,45137.7700,102.4000,80.9100
2021-03-01,222.6400,58918.8300,101.2300,80.9100
2021-04-01,236.4800,57750.1800,101.9800,80.9100
2021-05-01,208.4100,37332.8600,102.1900,80.9000
2021-06-01,226.5700,35040.8400,103.0400,80.8800
2021-07-01,229.0700,41626.2000,104.2000,80.8700
2021-08-01,245.2400,47166.6900,103.9900,80.8600
2021-09-01,258.4900,43790.8900,103.0300,80.8700
2021-10-01,371.3300,61318.9600,103.0100,80.8600
2021-11-01,381.5900,57005.4300,103.2900,80.8400
2021-12-01,352.2600,46306.4500,102.8300,80.8400
2022-01-01,312.2400,38483.1300,101.0200,80.8400
2022-02-01,290.1400,43193.2300,99.7200,80.8300
2022-03-01,359.2000,45538.6800,96.9100,80.8400
2022-04-01,290.2500,37714.8800,93.2200,80.8500
2022-05-01,252.7500,31792.3100,93.9000,80.8800
2022-06-01,224.4700,19784.7300,92.4400,80.9200
2022-07-01,297.1500,23336.9000,94.7900,80.9300
2022-08-01,275.6100,20049.7600,91.8900,81.0400
2022-09-01,265.2500,19431.7900,88.0800,81.1700
2022-10-01,227.5400,20495.7700,86.9400,81.2900
2022-11-01,194.7000,17168.5700,90.2400,81.5000
2022-12-01,123.1800,16547.5000,89.2500,81.5000
2023-01-01,173.2200,23139.2800,92.6400,82.2100
2023-02-01,205.7100,23147.3500,89.9500,82.1900
2023-03-01,207.4600,28478.4800,92.3300,82.6000
2023-04-01,164.3100,29268.8100,92.8500,82.7900
2023-05-01,203.9300,27219.6600,91.7900,83.1200
2023-06-01,261.7700,30477.2500,91.4400,83.4800
2023-07-01,267.4300,29230.1100,91.4300,83.8000
2023-08-01,258.0800,25931.4700,90.8400,84.2000
2023-09-01,250.2200,26967.9200,88.4900,84.5300
2023-10-01,200.8400,34667.7800,87.1000,84.9000
2023-11-01,240.0800,37712.7500,91.0800,85.2900
2023-12-01,248.4800,42265.1900,94.1900,85.2500
2024-01-01,187.2900,42582.6100,94.5800,86.4000
2024-02-01,201.8800,61198.3800,92.9100,86.4000
2024-03-01,175.7900,71333.6500,93.7500,86.8000
2024-04-01,183.2800,60636.8600,91.4300,87.1300
2024-05-01,178.0800,67491.4100,92.9400,87.5400
2024-06-01,197.8800,62678.2900,93.7600,87.8800
2024-07-01,232.0700,64619.2500,96.0300,88.2900
2024-08-01,214.1100,58969.9000,97.4400,88.6800
2024-09-01,261.6300,63329.5000,98.7300,89.0700
2024-10-01,249.8500,70215.1900,96.2600,89.4400
2024-11-01,345.1600,96449.0500,97.3100,89.7800
2024-12-01,403.8400,93429.2000,95.3600,89.7900
2025-01-01,404.6000,102405.0200,96.4600,90.8200
2025-02-01,292.9800,84373.0100,98.2900,90.7900
2025-03-01,259.1600,82548.9100,98.2900,91.1200
2025-04-01,252.3100,83404.8400,96.7200,91.2400
