Date,TSLA,BTC-USD,AGG,BIL
2021-01-01,80.9200,80.9200,80.9200,80.9200
2021-02-01,80.9100,80.9100,80.9100,80.9100
2021-03-01,80.9100,80.9100,80.9100,80.9100
2021-04-01,80.9100,80.9100,80.9100,80.9100
2021-05-01,80.9000,80.9000,80.9000,80.9000
2021-06-01,80.8800,80.8800,80.8800,80.8800
2021-07-01,80.8700,80.8700,80.8700,80.8700
2021-08-01,80.8600,80.8600,80.8600,80.8600
2021-09-01,80.8700,80.8700,80.8700,80.8700
2021-10-01,80.8600,80.8600,80.8600,80.8600
2021-11-01,80.8400,80.8400,80.8400,80.8400
2021-12-01,80.8400,80.8400,80.8400,80.8400
2022-01-01,80.8400,80.8400,80.8400,80.8400
2022-02-01,80.8300,80.8300,80.8300,80.8300
2022-03-01,80.8400,80.8400,80.8400,80.8400
2022-04-01,80.8500,80.8500,80.8500,80.8500
2022-05-01,80.8800,80.8800,80.8800,80.8800
2022-06-01,80.9200,80.9200,80.9200,80.9200
2022-07-01,80.9300,80.9300,80.9300,80.9300
2022-08-01,81.0400,81.0400,81.0400,81.0400
2022-09-01,81.1700,81.1700,81.1700,81.1700
2022-10-01,81.2900,81.2900,81.2900,81.2900
2022-11-01,81.5000,81.5000,81.5000,81.5000
2022-12-01,81.5000,81.5000,81.5000,81.5000
2023-01-01,82.2100,82.2100,82.2100,82.2100
2023-02-01,82.1900,82.1900,82.1900,82.1900
2023-03-01,82.6000,82.6000,82.6000,82.6000
2023-04-01,82.7900,82.7900,82.7900,82.7900
2023-05-01,83.1200,83.1200,83.1200,83.1200
2023-06-01,83.4800,83.4800,83.4800,83.4800
2023-07-01,83.8000,83.8000,83.8000,83.8000
2023-08-01,84.2000,84.2000,84.2000,84.2000
2023-09-01,84.5300,84.5300,84.5300,84.5300
2023-10-01,84.9000,84.9000,84.9000,84.9000
2023-11-01,85.2900,85.2900,85.2900,85.2900
2023-12-01,85.2500,85.2500,85.2500,85.2500
2024-01-01,86.4000,86.4000,86.4000,86.4000
2024-02-01,86.4000,86.4000,86.4000,86.4000
2024-03-01,86.8000,86.8000,86.8000,86.8000
2024-04-01,87.1300,87.1300,87.1300,87.1300
2024-05-01,87.5400,87.5400,87.5400,87.5400
2024-06-01,87.8800,87.8800,87.8800,87.8800
2024-07-01,88.2900,88.2900,88.2900,88.2900
2024-08-01,88.6800,88.6800,88.6800,88.6800
2024-09-01,89.0700,89.0700,89.0700,89.0700
2024-10-01,89.4400,89.4400,89.4400,89.4400
2024-11-01,89.7800,89.7800,89.7800,89.7800
2024-12-01,89.7900,89.7900,89.7900,89.7900
2025-01-01,90.8200,90.8200,90.8200,90.8200
2025-02-01,90.7900,90.7900,90.7900,90.7900
2025-03-01,91.1200,91.1200,91.1200,91.1200
2025-04-01,91.2400,91.2400,91.2400,91.2400
