Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Mar 1, 2025",98.66,99.40,98.01,98.92,98.29,173294600
"Mar 3, 2025",0.30 Dividend,0.30 Dividend,0.30 Dividend,0.30 Dividend,0.30 Dividend,0.30 Dividend
"Feb 1, 2025",97.34,99.29,96.61,99.25,98.29,162617500
"Feb 3, 2025",0.32 Dividend,0.32 Dividend,0.32 Dividend,0.32 Dividend,0.32 Dividend,0.32 Dividend
"Jan 1, 2025",97.07,97.73,95.74,97.40,96.46,153162900
"Dec 18, 2024",0.32 Dividend,0.32 Dividend,0.32 Dividend,0.32 Dividend,0.32 Dividend,0.32 Dividend
"Dec 1, 2024",99.39,99.60,96.47,96.90,95.36,207807600
"Dec 2, 2024",0.31 Dividend,0.31 Dividend,0.31 Dividend,0.31 Dividend,0.31 Dividend,0.31 Dividend
"Nov 1, 2024",98.29,99.22,97.26,99.20,97.31,178516100
"Nov 1, 2024",0.31 Dividend,0.31 Dividend,0.31 Dividend,0.31 Dividend,0.31 Dividend,0.31 Dividend
"Oct 1, 2024",101.27,101.45,98.09,98.42,96.26,188422600
"Oct 1, 2024",0.31 Dividend,0.31 Dividend,0.31 Dividend,0.31 Dividend,0.31 Dividend,0.31 Dividend
"Sep 1, 2024",100.49,102.04,100.23,101.27,98.73,151200500
"Sep 3, 2024",0.31 Dividend,0.31 Dividend,0.31 Dividend,0.31 Dividend,0.31 Dividend,0.31 Dividend
"Aug 1, 2024",99.01,100.92,99.01,100.25,97.44,162159500
"Aug 1, 2024",0.30 Dividend,0.30 Dividend,0.30 Dividend,0.30 Dividend,0.30 Dividend,0.30 Dividend
"Jul 1, 2024",96.43,99.12,96.22,99.11,96.03,156329800
"Jul 1, 2024",0.30 Dividend,0.30 Dividend,0.30 Dividend,0.30 Dividend,0.30 Dividend,0.30 Dividend
"Jun 1, 2024",96.40,98.05,96.38,97.07,93.76,116832100
"Jun 3, 2024",0.30 Dividend,0.30 Dividend,0.30 Dividend,0.30 Dividend,0.30 Dividend,0.30 Dividend
