Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Apr 1, 2025",91.43,91.56,91.42,91.56,91.24,226444200
"Apr 1, 2025",0.32 Dividend,0.32 Dividend,0.32 Dividend,0.32 Dividend,0.32 Dividend,0.32 Dividend
"Mar 1, 2025",91.45,91.74,91.44,91.73,91.12,278655900
"Mar 3, 2025",0.29 Dividend,0.29 Dividend,0.29 Dividend,0.29 Dividend,0.29 Dividend,0.29 Dividend
"Feb 1, 2025",91.45,91.73,91.44,91.72,90.79,152321000
"Feb 3, 2025",0.33 Dividend,0.33 Dividend,0.33 Dividend,0.33 Dividend,0.33 Dividend,0.33 Dividend
"Jan 1, 2025",91.45,91.76,91.44,91.75,90.82,157312600
"Dec 19, 2024",0.38 Dividend,0.38 Dividend,0.38 Dividend,0.38 Dividend,0.38 Dividend,0.38 Dividend
"Dec 1, 2024",91.47,91.67,91.29,91.43,89.79,155048200
"Dec 2, 2024",0.34 Dividend,0.34 Dividend,0.34 Dividend,0.34 Dividend,0.34 Dividend,0.34 Dividend
"Nov 1, 2024",91.48,91.80,91.47,91.78,89.78,150196500
"Nov 1, 2024",0.36 Dividend,0.36 Dividend,0.36 Dividend,0.36 Dividend,0.36 Dividend,0.36 Dividend
"Oct 1, 2024",91.46,91.80,91.45,91.80,89.44,140940000
"Oct 1, 2024",0.37 Dividend,0.37 Dividend,0.37 Dividend,0.37 Dividend,0.37 Dividend,0.37 Dividend
"Sep 1, 2024",91.77,91.82,91.44,91.81,89.07,156932000
"Sep 3, 2024",0.40 Dividend,0.40 Dividend,0.40 Dividend,0.40 Dividend,0.40 Dividend,0.40 Dividend
"Aug 1, 2024",91.41,91.83,91.41,91.82,88.68,192025600
"Aug 1, 2024",0.40 Dividend,0.40 Dividend,0.40 Dividend,0.40 Dividend,0.40 Dividend,0.40 Dividend
"Jul 1, 2024",91.42,91.80,91.41,91.80,88.29,138514400
"Jul 1, 2024",0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend
"Jun 1, 2024",91.45,91.79,91.43,91.78,87.88,117206200
"Jun 3, 2024",0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend
"May 1, 2024",91.43,91.83,91.42,91.82,87.54,139772400
"May 1, 2024",0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend
"Apr 1, 2024",91.42,91.80,91.42,91.79,87.13,165486700
"Apr 1, 2024",0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend
"Mar 1, 2024",91.44,91.81,91.44,91.80,86.80,121886400
"Mar 1, 2024",0.36 Dividend,0.36 Dividend,0.36 Dividend,0.36 Dividend,0.36 Dividend,0.36 Dividend
"Feb 1, 2024",91.42,91.79,91.42,91.78,86.40,136273300
"Feb 1, 2024",0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend
"Jan 1, 2024",91.40,91.79,91.40,91.78,86.40,156412100
"Dec 18, 2023",0.42 Dividend,0.42 Dividend,0.42 Dividend,0.42 Dividend,0.42 Dividend,0.42 Dividend
"Dec 1, 2023",91.45,91.63,91.21,91.39,85.25,160903300
"Dec 1, 2023",0.42 Dividend,0.42 Dividend,0.42 Dividend,0.42 Dividend,0.42 Dividend,0.42 Dividend
"Nov 1, 2023",91.44,91.85,91.43,91.84,85.29,229526700
"Nov 1, 2023",0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend
"Oct 1, 2023",91.45,91.83,91.44,91.82,84.90,270208000
"Oct 2, 2023",0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend
"Sep 1, 2023",91.47,91.83,91.46,91.82,84.53,161819200
"Sep 1, 2023",0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend,0.41 Dividend
"Aug 1, 2023",91.43,91.86,91.42,91.86,84.20,151286000
"Aug 1, 2023",0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend,0.39 Dividend
"Jul 1, 2023",91.46,91.81,91.46,91.80,83.80,109308900
"Jul 3, 2023",0.37 Dividend,0.37 Dividend,0.37 Dividend,0.37 Dividend,0.37 Dividend,0.37 Dividend
"Jun 1, 2023",91.45,91.83,91.44,91.82,83.48,139963000
"Jun 1, 2023",0.37 Dividend,0.37 Dividend,0.37 Dividend,0.37 Dividend,0.37 Dividend,0.37 Dividend
"May 1, 2023",91.44,91.78,91.41,91.77,83.12,146814900
"May 1, 2023",0.35 Dividend,0.35 Dividend,0.35 Dividend,0.35 Dividend,0.35 Dividend,0.35 Dividend
"Apr 1, 2023",91.48,91.79,91.47,91.78,82.79,134371500
"Apr 3, 2023",0.37 Dividend,0.37 Dividend,0.37 Dividend,0.37 Dividend,0.37 Dividend,0.37 Dividend
"Mar 1, 2023",91.47,91.85,91.46,91.82,82.60,228427800
"Mar 1, 2023",0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend
"Feb 1, 2023",91.42,91.71,91.40,91.71,82.19,145839100
"Feb 1, 2023",0.34 Dividend,0.34 Dividend,0.34 Dividend,0.34 Dividend,0.34 Dividend,0.34 Dividend
"Jan 1, 2023",91.48,91.74,91.47,91.73,82.21,139453300
"Dec 19, 2022",0.27 Dividend,0.27 Dividend,0.27 Dividend,0.27 Dividend,0.27 Dividend,0.27 Dividend
"Dec 1, 2022",91.43,91.60,91.33,91.47,81.50,142210000
"Dec 1, 2022",0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend,0.26 Dividend
"Nov 1, 2022",91.41,91.67,91.39,91.67,81.50,125073900
"Nov 1, 2022",0.21 Dividend,0.21 Dividend,0.21 Dividend,0.21 Dividend,0.21 Dividend,0.21 Dividend
"Oct 1, 2022",91.45,91.61,91.42,91.59,81.29,133207400
"Oct 3, 2022",0.16 Dividend,0.16 Dividend,0.16 Dividend,0.16 Dividend,0.16 Dividend,0.16 Dividend
"Sep 1, 2022",91.43,91.60,91.42,91.60,81.17,133691600
"Sep 1, 2022",0.14 Dividend,0.14 Dividend,0.14 Dividend,0.14 Dividend,0.14 Dividend,0.14 Dividend
"Aug 1, 2022",91.37,91.55,91.37,91.55,81.04,138793300
"Aug 1, 2022",0.10 Dividend,0.10 Dividend,0.10 Dividend,0.10 Dividend,0.10 Dividend,0.10 Dividend
"Jul 1, 2022",91.43,91.48,91.40,91.47,80.93,138228900
"Jul 1, 2022",0.05 Dividend,0.05 Dividend,0.05 Dividend,0.05 Dividend,0.05 Dividend,0.05 Dividend
"Jun 1, 2022",91.44,91.49,91.41,91.49,80.92,127557600
"Jun 1, 2022",0.03 Dividend,0.03 Dividend,0.03 Dividend,0.03 Dividend,0.03 Dividend,0.03 Dividend
"May 1, 2022",91.44,91.48,91.42,91.45,80.88,123245200
"Apr 1, 2022",91.42,91.44,91.41,91.42,80.85,76053100
"Mar 1, 2022",0.02 Dividend,0.02 Dividend,0.02 Dividend,0.02 Dividend,0.02 Dividend,0.02 Dividend
"Mar 1, 2022",91.42,91.43,91.40,91.43,80.84,90882500
"Feb 1, 2022",91.41,91.43,91.40,91.41,80.83,90521300
"Jan 1, 2022",91.43,91.43,91.41,91.43,80.84,74430900
"Dec 1, 2021",91.44,91.44,91.42,91.43,80.84,25722900
"Nov 1, 2021",91.44,91.45,91.43,91.43,80.84,21169800
"Oct 1, 2021",91.46,91.46,91.43,91.45,80.86,18012100
"Sep 1, 2021",91.46,91.47,91.44,91.46,80.87,31234700
"Aug 1, 2021",91.46,91.47,91.45,91.45,80.86,20429900
"Jul 1, 2021",91.47,91.48,91.46,91.46,80.87,19782500
"Jun 1, 2021",91.48,91.49,91.47,91.47,80.88,19359400
"May 1, 2021",91.49,91.50,91.48,91.49,80.90,26742000
"Apr 1, 2021",91.51,91.51,91.49,91.50,80.91,25681800
"Mar 1, 2021",91.51,91.51,91.50,91.50,80.91,24587200
"Feb 1, 2021",91.52,91.53,91.50,91.51,80.91,22015300
