Date,Open,High,Low,Close,Adj Close,Volume
"Apr 1, 2025",263.80,284.99,214.25,252.31,252.31,1561548600
"Mar 1, 2025",300.34,303.94,217.02,259.16,259.16,2718957500
"Feb 1, 2025",386.68,394.00,273.60,292.98,292.98,1581998600
"Jan 1, 2025",390.10,439.74,373.04,404.60,404.60,1510656500
"Dec 1, 2024",352.38,488.54,348.20,403.84,403.84,1903365900
"Nov 1, 2024",252.04,361.93,238.88,345.16,345.16,2091913900
"Oct 1, 2024",262.67,273.54,212.11,249.85,249.85,1910807800
"Sep 1, 2024",215.26,264.86,209.64,261.63,261.63,1611273300
"Aug 1, 2024",227.69,231.87,182.00,214.11,214.11,1618373100
"Jul 1, 2024",201.02,271.00,200.85,232.07,232.07,2946114300
"Jun 1, 2024",178.13,203.20,167.41,197.88,197.88,1407037300
"May 1, 2024",182.00,187.56,167.75,178.08,178.08,1668180900
"Apr 1, 2024",176.17,198.87,138.80,183.28,183.28,2478540800
"Mar 1, 2024",200.52,204.52,160.51,175.79,175.79,1898904200
"Feb 1, 2024",188.50,205.60,175.01,201.88,201.88,2019907700
"Jan 1, 2024",250.08,251.25,180.06,187.29,187.29,2343784600
"Dec 1, 2023",233.14,265.13,228.20,248.48,248.48,2294598400
"Nov 1, 2023",204.04,252.75,197.85,240.08,240.08,2650798400
"Oct 1, 2023",244.81,268.94,194.07,200.84,200.84,2590570100
"Sep 1, 2023",257.26,278.98,234.58,250.22,250.22,2439306100
"Aug 1, 2023",266.26,266.47,212.36,258.08,258.08,2501580900
"Jul 1, 2023",276.49,299.29,254.12,267.43,267.43,2392089000
"Jun 1, 2023",202.59,276.99,199.37,261.77,261.77,3440477900
"May 1, 2023",163.17,204.48,158.83,203.93,203.93,2681994800
"Apr 1, 2023",199.91,202.69,152.37,164.31,164.31,2505176300
"Mar 1, 2023",206.21,207.79,163.91,207.46,207.46,3311619900
"Feb 1, 2023",173.89,217.65,169.93,205.71,205.71,3624845100
"Jan 1, 2023",118.47,180.68,101.81,173.22,173.22,3897499400
"Dec 1, 2022",197.08,198.92,108.24,123.18,123.18,2944247700
"Nov 1, 2022",234.05,237.40,166.19,194.70,194.70,1885275300
"Oct 1, 2022",254.50,257.50,198.59,227.54,227.54,1735263100
"Sep 1, 2022",272.58,313.80,262.47,265.25,265.25,1299271000
"Aug 1, 2022",301.28,314.67,271.81,275.61,275.61,1695263200
"Jul 1, 2022",227.00,298.32,216.17,297.15,297.15,1744884000
"Jun 1, 2022",251.72,264.21,208.69,224.47,224.47,2011227900
"May 1, 2022",286.92,318.50,206.86,252.75,252.75,1948221600
"Apr 1, 2022",360.38,384.29,273.90,290.25,290.25,1520959800
"Mar 1, 2022",289.89,371.59,252.01,359.20,359.20,1729272900
"Feb 1, 2022",311.74,315.92,233.33,290.14,290.14,1391126700
"Jan 1, 2022",382.58,402.67,264.00,312.24,312.24,1916006400
"Dec 1, 2021",386.90,390.95,295.37,352.26,352.26,1530167700
"Nov 1, 2021",381.67,414.50,326.20,381.59,381.59,1947334500
"Oct 1, 2021",259.47,371.74,254.53,371.33,371.33,1586803800
"Sep 1, 2021",244.69,266.33,236.28,258.49,258.49,1170513900
"Aug 1, 2021",233.33,246.80,216.28,245.24,245.24,1143974700
"Jul 1, 2021",227.97,233.33,206.82,229.07,229.07,1345349400
"Jun 1, 2021",209.27,232.54,190.41,226.57,226.57,1559765700
"May 1, 2021",234.60,235.33,182.33,208.41,208.41,1875527400
"Apr 1, 2021",229.46,260.26,219.81,236.48,236.48,2035619100
"Mar 1, 2021",230.04,240.37,179.83,222.64,222.64,2827357200
"Feb 1, 2021",271.43,293.50,206.33,225.17,225.17,1568573700
"Jan 1, 2021",239.82,300.13,239.06,264.51,264.51,2117084400
